FID,BID,Latitude,Longitude,BarTyp,IsBarrier,Drop,FRRU,fdy150,fdy300,fdy2000,FACT_AADT,BFW_ft,SalmoMFHU,ShadMFHU,AlBkMFHU,BktMFHU,SalmoP,ShadP,BktP,AleP,BbkP,Cpcty_kW,StrcRD200,StrcRD1000,RsvrVolEst,AlRm5d_skm,fdr150cfs,fdr300cfs,fdr2000cfs,Hazard,ExpPow,ExpCost,RsvrRm_skm,CulvCond,Private,RepDiam_ft,DnCost,area_skm,Qtot_m3,MDIS_m3s_e,NCAP_m3_e,MaxRecurCu,MaxRecurDa,OBJECTID,SiteID,PRIORITY,N_PRIOR,N_CULVCOND,CulvRisk,N_PFLculv,HazEst,DamRisk,OT_RISK,RhP,FLRU,AlRm_5d_sm,Al5Dam,RhHabA,BkTHabA,SalmoHabA,ShadHabA,SLamHabA,EelHabA,wshdIssue,RH_P,ASAL_P,ASHA_P,BKT_P,AE_P,SL_P,Mean_P,overlap,HUC8,HUC12,TOWN,GEOCODE,Lngth_ft,MaxRecurCu_rcp45,CulvRisk_rcp45
10,4061,45.7863037,-69.33188058,1,1,0,0,0,0,0,0,51.07953293,0,0,0,129044.2151,0,0,0,0,0,0,0,0,24499011.2,0,0.068398922,0.034199461,0.005129919,1,740,2812000,7.010164229,999,0,61.29543952,1969060,100.7952837,999,26.10150961,4782446.406,999,6,0,NaN,999,0,999,999,10,1,37.84,37.84,0,6.309147806,0,0,0,237396.1426,0,0,0,0,0,0,0,0,0,0,0,0,237396.1426,1020001,10200010506,T2 R13 WELS,21840,0,999,999
11,4065,43.55761978,-70.38147419,1,1,0,0,0,0,0,0,24.96427883,0,22637.02705,22637.02705,42087.57166,0,0,0,0,0,0,2,158,0,0,0,0,0,1,90,342000,0.058,999,0,29.9571346,597967.2131,19.07006129,999,0,0,999,0,0,NaN,999,0,999,999,10,1,0,0,0,0.0522,0,0,37410.95526,51597.44694,0,34594.8583,0,54612.53364,0,0,0,0,0,0,0,0,0,1060001,10600010505,Scarborough,5200,0,999,999
12,4066,43.57345666,-70.35129827,1,1,0,0,0,0,0,0,13.93565824,0,8761.818406,8761.818406,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0.076,999,0,16.72278989,170183.4399,4.915124915,999,0,0,999,0,0,NaN,999,0,999,999,10,1,0,0,0,0.0494,0,0,11218.9498,0,0,11218.9498,0,11218.9498,0,0,0,0,0,0,0,0,0,1060001,10600010505,Scarborough,5200,0,999,999
13,4067,43.57528236,-70.34814261,1,1,0,0,0,0,0,0,0.344347495,0,0,0,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0,999,0,0.413216994,146595.5833,0.000899542,999,0,0,999,0,0,NaN,999,0,999,999,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1060001,10600010505,Scarborough,5200,0,999,999
14,4076,43.63269884,-70.31355045,1,1,0,0,0,0,0,0,24.1334674,0,0,37358.47865,16440.32194,0,0,0,0,0,0,7,602,0,0,0,0,0,1,23,87400,0,999,0,28.96016088,683884.233,17.62656428,999,0,0,999,0,0,NaN,999,0,999,999,10,1,0,0,0,0,0,0,38054.85614,24685.16808,0,0,0,42659.68251,0,0,0,0,0,0,0,0,0,1060001,10600010402,South Portland,5220,0,999,999
15,4077,43.65658942,-70.31074206,1,1,0,0,0,0,0,0,43.90919328,0,0,0,92925.6044,0,0,0,0,0,0,42,598,0,0,0,0,0,1,374,1421200,0,999,0,52.69103194,812108.9809,70.90377791,999,0,0,999,0,0,NaN,999,0,999,999,10,1,0,0,0,0,0,0,0,106757.3557,0,0,0,272529.0072,0,0,0,0,0,0,0,0,0,1060001,10600010401,Portland,5170,0,999,999
16,4078,43.66393933,-70.3074344,1,1,0,0,0,0,0,0,1.071096031,0,0,0,0,0,0,0,0,0,0,34,1710,0,0,0,0,0,0,0,0,0,999,0,1.285315238,203199.6123,0.012593352,999,0,0,999,0,0,NaN,999,0,999,999,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1060001,10600010402,Portland,5170,0,999,999
17,4079,43.67873506,-70.36943868,1,1,0,1473301.614,0.788561848,0.477272727,0.05719076,0,162.9481731,1801764.904,335213.9844,12627098.75,2950111.703,0,0,0,0,0,0,480,3017,223063.4943,0,0.000622772,0.000311386,4.67E-05,2,17026,64698800,0.333,999,0,195.5378078,2541555.599,1496.491019,999,0,0,999,0,0,NaN,999,0,999,999,10,2,70,70,0,0.2997,0,12.29004571,13294140.9,6204798.249,4083336.464,1057377.579,7287548.92,6683951.727,0,0,0,0,0,0,0,0,0,1060001,10600010304,Westbrook,5240,0,999,999
18,4080,43.68377047,-70.35120167,1,1,0,1480290.499,0.797754811,0.489130435,0.06557377,0,163.1279276,1802230.364,335213.9844,12627098.75,2950577.163,0,0,0,0,0,0,11,1152,0,0,0,0,0,2,14118,53648400,0,999,0,195.7535132,2358354.685,1500.332984,999,0,0,999,0,0,NaN,999,0,999,999,10,2,0,0,0,0,0,12.29004571,13318945.42,6218776.019,4097314.234,1082182.101,7312353.442,6708796.951,0,0,0,0,0,0,0,0,0,1060001,10600010306,Westbrook,5240,0,999,999
19,4082,43.71827669,-70.2691947,1,1,0,1948854.614,0.854636271,0.59375,0.086193648,0,170.7018652,2116310.864,751341.368,15330987.42,3366933.183,0,0,0,0,0,0,12,355,0,0,0,0,0,0,1596,6064800,0,999,0,204.8422382,3018569.939,1667.342207,999,0,0,999,0,0,NaN,999,0,999,999,10,2,0,0,0,0,0,14.4414326,16314991.3,6813406.981,4927297.117,1777963.031,8198103.678,7621278.603,0,0,0,0,0,0,0,0,0,1060001,10600010306,Falmouth,5070,0,999,999
20,4083,43.72751138,-70.41991208,1,1,0,1280633.163,0.741575592,0.416666667,0.021174863,0,154.7509641,1673535.514,71872.93598,12363757.7,2661235.911,0,0,0,0,0,0,29,412,0,0,0,0,0,2,10819,41112200,0,999,0,185.7011569,2151866.118,1327.222007,999,26.68875635,4778774.723,999,0,0,NaN,999,0,999,999,10,2,0,0,0,0,0,12.29004571,12850381.53,5805788.624,3413061.218,613618.2059,6334726.789,6114129.545,0,0,0,0,0,0,0,0,0,1060001,10600010304,Windham,5250,0,999,999
21,4084,43.73417601,-70.42465106,1,1,0,1196202.846,0.726374156,0.397058824,0.014946962,0,154.719569,1670723.984,71872.93598,12363757.7,2661235.911,0,0,0,0,0,0,57,482,0,0,0,0,0,2,9088,34534400,0,999,0,185.6634828,2029386.118,1326.595906,999,0,0,999,0,0,NaN,999,0,999,999,10,2,0,0,0,0,0,12.29004571,12765951.21,5805788.624,3328630.9,529187.8885,6250296.472,6029699.228,0,0,0,0,0,0,0,0,0,1060001,10600010304,Windham,5250,0,999,999
22,4085,43.7452122,-70.35135432,1,1,0,0,0,0,0,0,26.84550766,1161.585166,3868.078604,2155254.972,11193.27481,0,0,0,0,0,0,8,205,0,0,0,0,0,1,4,15200,0,999,0,32.2146092,419325.0868,22.58032665,999,0,0,999,0,0,NaN,999,0,999,999,10,1,0,0,0,0,0,2.151386894,2178042.807,34192.56918,5807.925832,26655.91352,35659.36764,35659.36764,0,0,0,0,0,0,0,0,0,1060001,10600010306,Westbrook,5240,0,999,999
23,4086,44.6798745,-68.11556142,1,1,0,0,0,0,0,0,32.52085653,0,0,1338725.323,61567.59818,0,0,0,0,0,0,0,0,0,0,0,0,0,1,146,554800,0,999,0,39.02502783,560973.7799,35.27188895,999,0,0,999,0,0,NaN,999,0,999,999,10,1,0,0,0,0,0,1.326628259,1354620.531,88702.01644,0,0,0,88702.01644,0,0,0,0,0,0,0,0,0,1050002,10500021003,T16 MD BPP,9807,0,999,999
24,4087,43.74702621,-70.4387255,1,1,0,1158283.394,0.689890711,0.35,0,0,153.9549583,1651410.264,23073.53545,12313119.25,2661235.911,0,0,0,0,0,0,5,436,313488.994,0,0.000875232,0.000437616,6.56E-05,2,12845,48811000,0.212,999,0,184.74595,2297558.757,1311.399487,999,74.42648221,5544034.236,999,1,0,NaN,999,0,999,999,10,2,69.37,69.37,0,0.1908,0,12.29004571,12605800.7,5805788.624,3259743.639,369037.3738,6083760.148,5863162.904,0,0,0,0,0,0,0,0,0,1060001,10600010304,Windham,5250,0,999,999
25,4088,44.72511288,-68.03542075,1,1,0,0,0,0,0,0,13.60156546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,0,16.32187855,185648.4574,4.645433076,999,25.72668441,4779019.988,999,100,0,NaN,999,0,999,999,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1050002,10500021005,Deblois,29180,0,999,999
26,4089,44.72451771,-68.00354595,1,1,0,0,0,0,0,0,0.62496681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0.749960173,114812.4331,0.003597673,999,0,0,999,0,0,NaN,999,0,999,999,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1050002,10500021005,Deblois,29180,0,999,999
27,4090,44.71161332,-67.98671651,1,1,0,0,0,0,0,0,5.996810907,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0.000508,999,0,7.196173088,86649.32285,0.691655868,999,35.9766409,4800900.697,999,100,0,NaN,999,0,999,999,10,1,4,4,0,0.0004572,0,0,0,0,0,0,439.3331712,439.3331712,0,0,0,0,0,0,0,0,0,1050002,10500021002,Deblois,29180,0,999,999
28,4091,44.70256302,-67.98103289,1,1,0,0,0,0,0,0,8.667164016,0,0,0,0,0,0,0,0,0,0,0,0,285,0,0,0,0,0,0,0,0.000755,999,0,10.40059682,168270.6087,1.628854527,999,0,0,999,0,0,NaN,999,0,999,999,10,1,40,40,0,0.00049075,0,0,0,0,0,0,2060.084322,2060.084322,0,0,0,0,0,0,0,0,0,1050002,10500021002,Deblois,29180,0,999,999
29,4092,44.73894297,-67.38891148,1,1,0,894057.867,0.62748829,0.37295082,0,0,124.5291297,0,1022134.202,42292445.2,669906.8939,0,0,0,0,0,0,15,81,0,0,0,0,0,1,8645,32851000,0,999,0,149.4349556,2062118.529,800.7484525,999,33.92467358,4868844.136,999,0,0,NaN,999,0,999,999,10,1,0,0,0,0,0,41.10793084,43847755.23,1281837.678,1887524.88,2070541.835,2626568.994,3206932.871,0,0,0,0,0,0,0,0,0,1050002,10500020205,East Machias,29200,0,999,999
30,4095,44.80421345,-70.14562303,1,1,0,0,0,0,0,0,21.79419449,0,0,0,0,0,0,0,0,0,0,62,124,1658112,0,0.004629292,0.002314646,0.000347197,2,41,155800,0.527416753,999,0,26.15303339,395157.1961,13.90571994,999,29.49809288,5255596.421,999,100,0,NaN,999,0,999,999,10,2,7,7,0,0.474675077,0,0,0,6195.9313,0,0,6195.9313,6195.9313,0,0,0,0,0,0,0,0,0,1030003,10300030601,New Vineyard,7130,0,999,999
31,4096,44.82293317,-70.11204058,1,1,0,0,0,0,0,0,29.54073774,13485.18134,0,0,0,0,0,0,0,0,0,6,44,161062.7347,0,0.000449672,0.000224836,3.37E-05,1,149,566200,0.167,999,0,35.44888529,563484.1567,28.20703689,999,0,0,999,0,0,NaN,999,0,999,999,10,1,40,40,0,0.1503,0,0,0,6195.9313,18623.18717,0,37214.83068,37214.83068,0,0,0,0,0,0,0,0,0,1030003,10300030601,New Vineyard,7130,0,999,999
32,4097,44.80440594,-70.1223014,1,1,0,0,0,0,0,0,25.19094464,1284.501458,0,0,0,0,0,0,0,0,0,30,95,0,0,0,0,0,3,5,19000,0.085,999,0,30.22913357,426711.6,19.47515815,999,0,0,999,0,0,NaN,999,0,999,999,10,3,0,0,0,0.0765,0,0,0,6195.9313,6422.507289,0,22242.7311,22242.7311,0,0,0,0,0,0,0,0,0,1030003,10300030601,New Vineyard,7130,0,999,999
33,4098,44.79870481,-69.88836691,1,1,0,11036550.42,0.887283761,0.693573952,0.335182502,0,342.2804143,4432554.375,249050.6293,249050.6293,16372049.22,0,0,0,0,0,9000,16,550,0,0,0,0,0,1,3150,4604449,0,999,0,410.7364972,807798.1428,8407.845131,999,77.72241225,4767555.201,999,0,0,NaN,999,0,999,999,10,1,0,0,0,0,0,0,965772.6578,28981263.48,10778499,965772.6578,12527728.61,25616797.26,0,0,0,0,0,0,0,0,0,1030003,10300031301,Madison,25170,0,999,999
34,4099,44.76281782,-69.56107006,1,1,0,0,0,0,0,0,58.2575373,25064.0036,0,0,0,0,0,0,0,0,0,23,120,0,0,0,0,0,0,44,167200,0,999,0,69.90904476,910021.7043,136.8494363,999,0,0,999,0,0,NaN,999,0,999,999,10,1,0,0,0,0,0,0,0,0,142485.1473,0,137462.8979,294429.0907,0,0,0,0,0,0,0,0,0,1030003,10300031505,Canaan,25060,0,999,999
35,4100,44.79217864,-69.88586031,1,1,0,11066541.24,0.887903081,0.695257611,0.338835345,0,342.4760197,4437754.466,259715.6268,259715.6268,16372049.22,0,0,0,0,0,18800,9,554,0,0,0,0,0,2,6580,23708755,0,999,0,410.9712237,4159430.724,8419.02353,999,0,0,999,0,0,NaN,999,0,999,999,10,2,0,0,0,0,0,0,1041767.804,28981263.48,10854494.15,1041767.804,12603723.76,25692792.4,0,0,0,0,0,0,0,0,0,1030003,10300031301,Madison,25170,0,999,999
36,4101,44.84689999,-69.75886836,1,1,0,0,0,0,0,0,36.54338384,0,0,0,0,0,0,0,0,0,0,154,352,0,3.328753003,0,0,0,0,9,34200,5.631,999,0,43.85206061,530044.3382,46.26067204,999,0,0,999,0,0,NaN,999,0,999,999,10,1,0,0,0,5.0679,3328753.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1030003,10300031403,Madison,25170,0,999,999
37,4102,44.79003363,-69.88916352,1,1,0,11066541.24,0.887903081,0.695257611,0.338835345,0,342.4938593,4437754.466,259715.6268,259715.6268,16372049.22,0,0,0,0,0,0,0,420,0,0,0,0,0,1,46686,177406800,0,999,0,410.9926311,3945090.724,8420.04344,999,0,0,999,0,0,NaN,999,0,999,999,10,1,0,0,0,0,0,0,1041767.804,28981263.48,10854494.15,1041767.804,12603723.76,25692792.4,0,0,0,0,0,0,0,0,0,1030003,10300031301,Anson,25010,0,999,999
38,4103,44.85002004,-69.75666358,1,1,0,0,0,0,0,0,36.66287724,0,0,0,0,0,0,0,0,0,0,17,88,0,0,0,0,0,1,154,585200,0,999,0,43.99545268,586166.3507,46.61322079,999,27.89659507,4780061.926,999,100,0,NaN,999,0,999,999,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1030003,10300031404,Madison,25170,0,999,999
39,4104,44.78216106,-69.72721065,1,1,0,0,0,0,0,0,23.08411078,0,0,0,0,0,0,0,0,0,0,6,466,0,0,0,0,0,1,119,452200,0,999,0,27.70093294,856156.6265,15.89529744,999,0,0,999,0,0,NaN,999,0,999,999,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1030003,10300031404,Skowhegan,25280,0,999,999
40,4105,44.76490833,-69.72132714,1,1,0,16661210.69,0.910516219,0.734234391,0.334792466,0,370.1581961,9135467.848,2430956.515,3856213.413,19587812.37,0,0,0,0,0,15980,85,926,0,0,0,0,0,2,5593,28457458,0,999,0,444.1898353,4992536.501,10087.11206,999,0,0,999,0,0,NaN,999,0,999,999,10,2,0,0,0,0,0,1.31859989,8144161.329,32240777.05,18461796.33,6715961.604,20329620.27,31531123.61,0,0,0,0,0,0,0,0,0,1030003,10300031501,Skowhegan,25280,0,999,999
41,4106,44.7947971,-69.38661738,1,1,0,384492.9601,0.632723833,0.326607818,0,0,127.1208894,0,0,8879209.768,377782.6907,0,0,0,0,0,400,223,809,3537161.349,2.061389541,0.00987542,0.00493771,0.000740656,2,140,9510968,2.063,999,0,152.5450672,1668590.842,840.0413976,999,25.92181581,4770460.089,999,1,0,NaN,999,0,999,999,10,2,69.37,69.37,0,1.8567,2061389.541,8.466470224,10006363.94,459881.3746,0,0,0,2540936.682,0,0,0,0,0,0,0,0,0,1030003,10300031702,Pittsfield,25240,0,999,999
42,4107,44.76520545,-68.77972648,1,1,0,0,0,0,0,0,38.31633138,40136.00021,28200.52426,2499943.821,0,0.460281968,0.083555996,0.083555996,0.083555996,0.083555996,0,26,350,0,0,0,0,0,2,214,813200,0,999,0,45.97959766,785700,51.64890865,999,0,0,999,0,0,NaN,999,0,999,999,10,2,0,0,0.083555996,0,0,2.471743297,2588677.457,0,56614.07643,116934.1602,126555.6616,126555.6616,0,0.260154487,0.610596753,0.260154487,0.260154487,0.260154487,0.260154487,0.318561531,3015337.017,1020005,10200051002,Brewer,19050,0,999,999
43,4108,44.78583137,-69.37964558,1,1,0,384492.9601,0.632723833,0.326607818,0,0,127.2673066,0,0,8879209.768,377782.6907,0,0,0,0,0,300,43,559,0,0,0,0,0,1,105,9685502,0,999,0,152.7207679,1699210.842,842.2932448,999,0,0,999,0,0,NaN,999,0,999,999,10,1,0,0,0,0,0,8.466470224,10006363.94,459881.3746,0,0,0,2540936.682,0,0,0,0,0,0,0,0,0,1030003,10300031702,Pittsfield,25240,0,999,999
44,4109,44.85021204,-69.36353675,1,1,0,0,0,0,0,0,25.0145964,0,0,0,0,0,0,0,0,0,0,25,76,0,0.591312897,0,0,0,1,2,7600,0.659,999,0,30.01751568,343496.212,19.15956976,999,25.71989186,4767558.946,999,100,0,NaN,999,0,999,999,10,1,0,0,0,0.42835,591312.8974,0,0,0,0,0,0,36275.1127,0,0,0,0,0,0,0,0,0,1030003,10300031702,Palmyra,25230,0,999,999
45,4110,44.83980763,-69.27614901,1,1,0,0,0,0,0,0,81.23067627,0,0,7336385.848,6415.384238,0,0,0,0,0,0,240,653,19181064,1.050963012,0.053551717,0.026775858,0.004016379,2,867,3294600,4.598030689,999,0,97.47681152,926895.9158,296.4711406,999,0,0,999,0,0,NaN,999,0,999,999,10,2,70,70,0,2.988719948,1050963.012,7.278495004,7588903.81,8349.998466,0,63748.26339,0,799653.7803,0,0,0,0,0,0,0,0,0,1030003,10300031806,Newport,19470,0,999,999
46,4111,44.83514615,-69.27195469,1,0,0,0,0,0,0,0,81.35165918,0,0,7336385.848,6415.384238,0,0,0,0,0,0,28,242,0,0,0,0,0,3,140,532000,0,999,0,97.62199102,0,297.4990303,999,0,0,999,0,0,NaN,999,0,999,999,10,3,0,0,0,0,0,7.278495004,7588903.81,8349.998466,0,63748.26339,0,799653.7803,0,0,0,0,0,0,0,0,0,1030003,10300031903,Newport,19470,0,999,999
47,4112,44.76712676,-69.21018325,1,1,0,0,0,0,0,0,61.07612986,0,0,800309.3434,206580.057,0,0,0,0,0,0,21,83,107567.0088,0.506,0.000300317,0.000150158,2.25E-05,1,518,1968400,0.506,999,0,73.29135583,794248.8856,152.7434232,999,0,0,999,0,0,NaN,999,0,999,999,10,1,40,40,0,0.3289,506000,0.799832421,861750.0495,209463.5883,0,0,0,208009.2189,0,0,0,0,0,0,0,0,0,1030003,10300031901,Plymouth,19530,0,999,999
48,4113,44.81046842,-68.74071574,1,0,0,38483789.38,0.880705802,0.672548346,0.211850888,0,498.5853645,30734059.98,12152309.85,155549934.7,29135778.17,0,0,0,0,0,0,29,392,0,0,0,0,0,2,86472,328593600,0,999,0,598.3024374,0,20164.42364,999,0,0,999,0,0,NaN,999,0,999,999,10,2,0,0,0,0,0,139.9452122,190083773.6,48297403.56,59947350.87,38619243.42,73543951.83,73350708.71,0,0,0,0,0,0,0,0,483842432,1020005,10200051003,Brewer,19050,0,999,999
49,4114,44.75916393,-68.8576346,1,1,0,225164.3522,0.495901639,0.25,0,0,101.7848618,413169.5931,530692.7095,2679170.306,845167.6706,0,0,0,0,0,0,2,63,0,0,0,0,0,0,260,988000,0,999,0,122.1418341,1647707.442,500.9606788,999,0,0,999,0,0,NaN,999,0,999,999,10,1,0,0,0,0,0,2.069035641,3032834.487,1034318.764,1182910.68,809754.2312,1268213.17,1500504.412,0,0,0,0,0,0,0,0,8828535.746,1020005,10200050805,Hampden,19280,0,999,999
50,4115,44.87240173,-68.63431899,1,1,0,0,0,0,0,0,55.00247178,35650.2085,49457.18487,5625635.144,60332.48051,0,0,0,0,0,0,0,0,0,0,0,0,0,2,333,1265400,0,999,0,66.00296614,469400,119.7218566,999,0,0,999,0,0,NaN,999,0,999,999,10,2,0,0,0,0,0,5.527529376,5758850.018,69397.64362,137862.8023,96789.79969,312830.9421,312830.9421,0,0,0,0,0,0,0,0,6688562.148,1020005,10200050602,Bradley,19040,0,999,999
51,4116,44.83244076,-68.70084645,1,0,0,38483789.38,0.880705802,0.672548346,0.211850888,0,497.6813054,30696304.32,12020143,155417767.8,29135778.17,0.610830009,0.083555996,0.083555996,0.083555996,0.083555996,8400,28,329,0,0,0,0,0,3,2940,11800824,0,999,0,597.2175665,0,20079.49533,999,0,0,999,0,0,NaN,999,0,999,999,10,3,0,0,0.083555996,0,0,139.9452122,189218336.8,48297403.56,59081914.1,37753806.64,72671070.96,72477827.84,0,0.260154487,0.703400531,0.260154487,0.260154487,0.260154487,0.260154487,0.334028828,479500359.9,1020005,10200051003,Eddington,19180,0,999,999
52,4117,44.78857176,-68.5852841,1,1,0,0,0,0,0,0,31.47076718,4092.886128,0,1181650.384,7736.45778,0,0,0,0,0,0,39,146,0,1.190012287,0,0,0,0,5,19000,1.613,999,0,37.76492062,451847.8833,32.67972404,999,0,0,999,0,0,NaN,999,0,999,999,10,1,0,0,0,1.4517,1190012.287,1.17151984,1193277.197,7736.45778,23848.03239,0,37770.91616,37770.91616,0,0,0,0,0,0,0,0,1300403.52,1020005,10200050602,Eddington,19180,0,999,999
